FECHA,VARIABLE,CAMOTAN,CATARINA,CHAMPERICO FEGUA,COBAN,EL CAPITAN,ESQUIPULAS,FLORES AEROPUERTO,LA AURORA,LA CEIBITA,LA FRAGUA,LABOR OVALLE,LOS ALTOS,MAZATENANGO,MONTUFAR,PANZÓS PHC ALTAVERAPAZ,PUERTO BARRIOS PHC,RETALHULEU AEROPUERTO,SACAPULAS,SAN MARCOS PHC,SANTA CRUZ BALANYÁ,TODOS SANTOS,INSIVUMEH,ALAMEDA ICTA,ASUNCION MITA,CHINIQUE,EL TABLON,HUEHUETENANGO,LA UNION,LAS VEGAS PHC,NEBAJ,POPTUN,QUEZADA,SABANA GRANDE,SAN AGUSTIN ACASAGUASTLAN,SAN JERONIMO,SAN JOSE AEROPUERTO,SAN PEDRO NECTA,SANTA MARIA CAHABON,SANTIAGO ATITLAN,SUIZA CONTENTA,TECUN UMAN,CHIXOY PCH,CUBULCO,LOS ALBORES,LOS ESCLAVOS,PASABIEN,POTRERO CARRILLO,SAN MARTIN JILOTEPEQUE,AMATITLAN,ANTIGUA GUATEMALA,CONCEPCION,IXCHIGUAN,JALAPA,LA REFORMA,LAS NUBES,LO DE COY,MARISCOS,MORALES MET,NENTON,NUEVA CONCEPCION,PACHUTÉ,PLAYA GRANDE IXCAN,SAN JOSE PINULA,SAN PEDRO AYAMPUC,SANTA CRUZ DEL QUICHE,SANTA MARGARITA,TOTONICAPAN
2022-01-26,TSUELO,-99.9,-99.9,-99.9,21.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,16.6,-99.9,-99.9,22.4,-99.9,-99.9,-99.9,18.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-27,NUBOSIDAD,-99.9,2.0,2.0,5.0,2,5.0,5.0,3.0,-99.9,3,1.0,1.0,6.0,1,6.0,1.0,3,4.0,5.0,5.0,4.0,4.0,4,1.0,6.0,2.0,3.0,6.0,7.0,95.0,-99.9,3,5,4.0,1.0,2.0,-99.9,6,3,3.0,1,-99.9,6.0,6.0,7.0,3.0,5.0,2.0,2.0,7.0,5.0,7.0,5.0,-99.9,-99.9,1.0,7.0,5.0,-99.9,-99.9,-99.9,7.0,1.0,5.0,4.0,5.0,1.0
2022-01-28,TSUELO,-99.9,-99.9,-99.9,21.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,18.2,-99.9,-99.9,22.3,-99.9,-99.9,-99.9,18.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.4,0.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-29,NUBOSIDAD,-99.9,4.0,5.0,8.0,4.7,7.7,8.0,8.0,-99.9,7.3,7.3,7.3,8.0,2,0.0,8.0,5.3,6.7,7.3,8.0,8.0,8.0,8,4.0,7.0,7.0,6.0,8.0,8.0,8.0,-99.9,5,3,8.0,8.0,5.0,-99.9,8,5,8.0,3,-99.9,8.0,8.0,8.0,8.0,7.0,8.0,5.0,8.0,7.0,8.0,7.0,-99.9,-99.9,0.0,7.0,8.0,-99.9,-99.9,-99.9,8.0,6.0,8.0,2.0,5.0,8.0
2022-01-30,TSUELO,-99.9,-99.9,-99.9,21.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,16.2,-99.9,-99.9,22.5,-99.9,-99.9,-99.9,18.1,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-01-31,NUBOSIDAD,3.0,4.7,3.7,3.7,4,1.7,1.7,3.7,-99.9,0.3,7.3,5.7,8.0,0,4.7,6.7,4,1.7,8.0,6.7,0.3,4.0,4,1.0,5.0,5.0,4.0,3.0,7.0,0.0,5.0,2,7,0.0,0.0,1.0,0.0,5,4,8.0,2,8.0,0.0,3.0,5.0,0.0,5.0,5.0,4.0,8.0,5.0,7.0,5.0,7.0,-99.9,1.0,6.0,5.0,-99.9,-99.9,-99.9,6.0,2.0,4.0,5.0,5.0,4.0
2022-02-01,TSUELO,-99.9,-99.9,-99.9,21.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,16.4,-99.9,-99.9,22.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.8,-99.9,-99.9,22.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2022-02-02,NUBOSIDAD,5.7,3.3,2.0,2.3,2,3.0,0.7,3.0,-99.9,1,4.0,4.0,-99.9,6.3,-99.9,1.0,2,3.3,5.3,4.7,4.3,2.0,1,2.0,2.0,-99.9,3.0,2.0,-99.9,2.0,1.0,70,4,2.0,1.0,0.0,1.0,3,3,-99.9,2,6.0,0.0,-99.9,5.0,-99.9,3.0,1.0,3.0,7.0,5.0,8.0,-99.9,6.0,-99.9,4.0,5.0,3.0,-99.9,-99.9,-99.9,-99.9,3.0,-99.9,-99.9,5.0,-99.9
2022-02-03,NUBOSIDAD,1.0,4.0,3.0,2.0,4,2.0,3.0,2.0,-99.9,1,6.0,6.0,-99.9,2,-99.9,2.0,3,0.0,5.0,5.0,3.0,2.0,3,1.0,3.0,-99.9,1.0,1.0,-99.9,2.0,0.0,5,4,2.0,1.0,3.0,0.0,3,4,-99.9,1,6.0,1.0,-99.9,6.0,-99.9,6.0,0.0,2.0,7.0,6.0,8.0,-99.9,6.0,-99.9,3.0,5.0,0.0,-99.9,-99.9,-99.9,-99.9,2.0,-99.9,-99.9,5.0,-99.9
2022-02-04,TSUELO,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
